1,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
3,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
6,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
7,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
26,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
36,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
37,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
38,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
45,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
78,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
81,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
87,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
90,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
103,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
109,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
122,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
130,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
143,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
150,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
180,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
181,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
210,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
230,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
240,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
241,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
261,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
262,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
272,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
275,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
276,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
287,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
294,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
296,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
316,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
318,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
321,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
332,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
347,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
348,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
361,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
367,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
402,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
403,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
412,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
413,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
446,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
453,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
460,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
462,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
467,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
468,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
472,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
488,2026-01-21 10:20:00.000,Format Cu (21/01/2026 10:20) -> Fix: Chuan SQL
